endtime,artist,track,msplayed
2021-12-29 16:54,El Flowcast ,Adán Cruz | Episodio 3 ,550591
2022-01-07 03:12,El Flowcast ,Eptos Uno | Episodio 13,3441293
2022-01-07 03:12,El Flowcast ,Miky Woodz | Episodio 14,32771
2022-01-07 14:57,California Love,Prologue,433516
2022-01-10 01:00,NO SKIPS with Jinx and Shea,Mos Def: ‘Black on Both Sides’ | Vol. 2 Ep. 10,793356
2022-01-10 01:30,NO SKIPS with Jinx and Shea,Mos Def: ‘Black on Both Sides’ | Vol. 2 Ep. 10,471496
2022-01-10 03:04,NO SKIPS with Jinx and Shea,Megan Thee Stallion: ‘Fever’ | Vol. 2 Ep. 11,4993688
2022-01-11 15:21,NO SKIPS with Jinx and Shea,Megan Thee Stallion: ‘Fever’ | Vol. 2 Ep. 11,1309800
2022-01-11 17:01,NO SKIPS with Jinx and Shea,The Notorious B.I.G.: 'Ready to Die’ | Vol. 2 Ep. 12,2729920
2022-01-11 18:25,NO SKIPS with Jinx and Shea,The Notorious B.I.G.: 'Ready to Die’ | Vol. 2 Ep. 12,2584734
2022-01-11 19:06,NO SKIPS with Jinx and Shea,The Notorious B.I.G.: 'Ready to Die’ | Vol. 2 Ep. 12,2456160
2022-01-11 21:14,RADIOSUENARECIO!,De Que Me Hablas?,3132450
2022-01-12 02:44,RADIOSUENARECIO!,De Que Me Hablas?,1554298
2022-01-12 02:45,RADIOSUENARECIO!,El Freestyle es Hip Hop?,766
2022-02-01 16:23,Lo Que Ando Oyendo,Prologue (5 min sample),360402
2022-02-04 14:51,NO SKIPS with Jinx and Shea,Madvillain: ‘Madvillainy’ | Vol. 3 Ep. 1 ,1585295
2022-02-04 16:21,NO SKIPS with Jinx and Shea,Madvillain: ‘Madvillainy’ | Vol. 3 Ep. 1 ,2588095
2022-02-04 16:24,NO SKIPS with Jinx and Shea,Madvillain: ‘Madvillainy’ | Vol. 3 Ep. 1 ,182123
2022-02-05 18:49,Lo Que Ando Oyendo,Prologue (5 min sample),356702
2022-02-06 03:13,NO SKIPS with Jinx and Shea,Madvillain: ‘Madvillainy’ | Vol. 3 Ep. 1 ,763261
2022-02-06 03:26,NO SKIPS with Jinx and Shea,Madvillain: ‘Madvillainy’ | Vol. 3 Ep. 1 ,228935
2022-02-06 03:45,NO SKIPS with Jinx and Shea,Madvillain: ‘Madvillainy’ | Vol. 3 Ep. 1 ,726388
