artist,track,endtime,msplayed,album,saved,uri
A Tribe Called Quest,Excursions,2022-01-28 21:59,41865,,,
A$AP Ferg,Plain Jane,2022-03-27 02:20,173600,Still Striving,True,spotify:track:4dVpf9jZjcORqGTLUaeYj9
A$AP Ferg,Plain Jane,2022-11-29 01:31,173600,Still Striving,True,spotify:track:4dVpf9jZjcORqGTLUaeYj9
A.C.O,De Madrugada,2022-01-21 02:55,220757,De Madrugada,True,spotify:track:280QqgbMrLeMs6B80mIPG2
A.C.O,De Madrugada,2022-07-18 15:48,220757,De Madrugada,True,spotify:track:280QqgbMrLeMs6B80mIPG2
A.C.O,De Madrugada,2022-08-10 19:04,182072,De Madrugada,True,spotify:track:280QqgbMrLeMs6B80mIPG2
A.C.O,De Madrugada,2022-08-10 20:50,38662,De Madrugada,True,spotify:track:280QqgbMrLeMs6B80mIPG2
A.C.O,De Madrugada,2022-08-12 21:50,167581,De Madrugada,True,spotify:track:280QqgbMrLeMs6B80mIPG2
A.C.O,De Madrugada,2022-09-09 22:33,220757,De Madrugada,True,spotify:track:280QqgbMrLeMs6B80mIPG2
A.C.O,De Madrugada,2022-09-19 20:06,220757,De Madrugada,True,spotify:track:280QqgbMrLeMs6B80mIPG2
Ab-Soul,D.R.U.G.S.,2022-04-05 22:59,356832,Do What Thou Wilt.,False,spotify:track:09avKKLKXaJcbeaGTmLCOs
Ab-Soul,D.R.U.G.S.,2022-07-16 17:35,356832,Do What Thou Wilt.,False,spotify:track:09avKKLKXaJcbeaGTmLCOs
Ab-Soul,D.R.U.G.S.,2022-07-20 19:00,356832,Do What Thou Wilt.,False,spotify:track:09avKKLKXaJcbeaGTmLCOs
Acentoh,El Virus,2022-02-18 04:15,226471,El Virus,True,spotify:track:0weocHib1DiLJxotouublX
Acentoh,El Virus,2022-08-10 21:18,251904,El Virus,True,spotify:track:0weocHib1DiLJxotouublX
Acentoh,El Virus,2022-08-17 23:27,116048,El Virus,True,spotify:track:0weocHib1DiLJxotouublX
Acentoh,El Virus,2022-11-08 17:46,251904,El Virus,True,spotify:track:0weocHib1DiLJxotouublX
Achepe,Semilla,2022-11-07 19:09,250339,Semilla,True,spotify:track:1sccackZF4sZ3j3HGbzxE4
Achepe,Semilla,2022-11-17 20:05,250339,Semilla,True,spotify:track:1sccackZF4sZ3j3HGbzxE4
Aczino,El G.O.A.T.,2022-12-17 19:42,110271,El G.O.A.T.,True,spotify:track:0gsXBDtQMWBJPpl58X2fNO
Aczino,Yo Soy El Rey,2022-01-14 01:56,292559,Hardcore Rulez,True,spotify:track:66uODGIU3bnjmu4sL92rQF
